2,4,2,4,Iris-setos
1,2,2,4,Iris-setos
1,3,2,4,Iris-setos
1,3,2,4,Iris-setos
1,4,2,4,Iris-setos
2,4,3,4,Iris-setos
1,3,2,4,Iris-setos
1,3,2,4,Iris-setos
1,2,2,4,Iris-setos
1,3,2,4,Iris-setos
2,4,2,4,Iris-setos
1,3,2,4,Iris-setos
1,2,2,4,Iris-setos
1,2,2,4,Iris-setos
2,4,3,4,Iris-setos
2,4,3,4,Iris-setos
2,4,3,4,Iris-setos
2,3,3,4,Iris-virginic
2,4,3,4,Iris-setos
2,4,3,4,Iris-setos
2,3,2,4,Iris-setos
2,4,2,4,Iris-setos
4,4,2,4,Iris-versicolo
2,3,2,4,Iris-setos
1,3,2,4,Iris-setos
1,2,2,4,Iris-setos
1,3,2,4,Iris-setos
2,4,2,4,Iris-setos
2,3,2,4,Iris-setos
1,3,2,4,Iris-setos
1,3,2,4,Iris-setos
2,3,2,4,Iris-setos
2,4,3,4,Iris-setos
2,4,3,4,Iris-setos
1,3,2,4,Iris-setos
1,3,2,4,Iris-setos
2,4,2,4,Iris-setos
1,3,2,4,Iris-setos
1,2,2,4,Iris-setos
2,3,2,4,Iris-setos
1,4,2,4,Iris-setos
3,4,3,4,Iris-virginic
1,3,2,4,Iris-setos
1,4,2,4,Iris-setos
2,4,3,4,Iris-setos
1,2,2,4,Iris-setos
2,4,3,4,Iris-setos
1,3,2,4,Iris-setos
2,4,2,4,Iris-setos
1,3,2,4,Iris-setos
4,3,2,4,Iris-versicolo
3,3,2,4,Iris-versicolo
4,3,2,4,Iris-versicolo
2,1,2,4,Iris-versicolo
3,2,2,4,Iris-versicolo
2,2,2,4,Iris-versicolo
3,3,2,4,Iris-versicolo
1,1,2,4,Iris-versicolo
3,2,2,4,Iris-versicolo
2,2,2,4,Iris-versicolo
2,1,3,4,Iris-setos
3,2,2,4,Iris-versicolo
3,1,2,4,Iris-versicolo
3,2,2,4,Iris-versicolo
2,2,2,4,Iris-versicolo
4,3,2,4,Iris-versicolo
2,2,2,4,Iris-versicolo
2,2,2,4,Iris-versicolo
3,1,2,4,Iris-versicolo
1,2,3,4,Iris-virginic
3,3,2,4,Iris-versicolo
3,2,2,4,Iris-versicolo
3,1,2,4,Iris-versicolo
1,2,2,4,Iris-setos
3,1,3,4,Iris-versicolo
3,2,2,4,Iris-versicolo
3,4,2,4,Iris-virginic
4,2,2,4,Iris-versicolo
3,2,2,4,Iris-versicolo
2,1,2,4,Iris-versicolo
2,1,2,4,Iris-versicolo
2,1,2,4,Iris-versicolo
2,2,2,4,Iris-versicolo
3,2,2,4,Iris-versicolo
2,2,2,4,Iris-versicolo
3,3,2,4,Iris-versicolo
4,3,2,4,Iris-versicolo
3,1,2,4,Iris-versicolo
2,2,2,4,Iris-versicolo
4,1,2,4,Iris-versicolo
2,1,2,4,Iris-versicolo
3,2,2,4,Iris-versicolo
2,1,2,4,Iris-versicolo
1,1,2,4,Iris-versicolo
2,2,2,4,Iris-versicolo
2,2,2,4,Iris-versicolo
2,2,2,4,Iris-versicolo
3,2,2,4,Iris-versicolo
2,1,2,4,Iris-versicolo
2,2,2,4,Iris-versicolo
3,3,2,4,Iris-virginic
2,2,2,4,Iris-virginic
4,2,2,4,Iris-virginic
3,2,2,4,Iris-virginic
3,2,2,4,Iris-virginic
4,2,2,4,Iris-virginic
3,2,2,4,Iris-versicolo
4,2,2,4,Iris-virginic
4,1,2,4,Iris-virginic
4,4,2,4,Iris-virginic
3,3,2,4,Iris-virginic
3,2,2,4,Iris-virginic
4,2,2,4,Iris-virginic
4,4,3,4,Iris-setos
2,2,2,4,Iris-virginic
3,3,2,4,Iris-virginic
3,2,2,4,Iris-virginic
4,4,3,4,Iris-virginic
1,1,3,4,Iris-virginic
4,3,3,4,Iris-setos
4,3,2,4,Iris-virginic
2,2,2,4,Iris-virginic
4,2,2,4,Iris-virginic
3,2,2,4,Iris-virginic
4,3,2,4,Iris-virginic
1,4,2,4,Iris-versicolo
3,2,2,4,Iris-virginic
3,2,2,4,Iris-virginic
3,2,2,4,Iris-virginic
3,2,3,4,Iris-setos
4,2,2,4,Iris-virginic
4,4,3,4,Iris-virginic
3,2,2,4,Iris-virginic
3,2,2,4,Iris-virginic
3,1,2,4,Iris-virginic
4,2,2,4,Iris-virginic
3,3,2,4,Iris-virginic
3,3,2,4,Iris-virginic
3,2,2,4,Iris-virginic
4,3,2,4,Iris-virginic
4,3,2,4,Iris-virginic
4,3,2,4,Iris-virginic
2,2,2,4,Iris-virginic
4,3,2,4,Iris-virginic
4,3,2,4,Iris-virginic
4,2,2,4,Iris-virginic
3,1,2,4,Iris-virginic
3,2,2,4,Iris-virginic
3,3,2,4,Iris-virginic
3,2,2,4,Iris-virginic
