1.0, 3, 3, 4, 2, 1, 2, 2, 2, 2, 1.0
2.0, 2, 3, 3, 2, 3, 2, 2, 2, 2, 1.0
3.0, 2, 3, 3, 3, 3, 2, 2, 2, 2, 1.0
4.0, 2, 2, 3, 2, 2, 3, 2, 2, 2, 1.0
5.0, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1.0
6.0, 2, 2, 3, 3, 3, 3, 2, 2, 3, 1.0
7.0, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1.0
8.0, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1.0
9.0, 3, 3, 3, 2, 2, 3, 2, 2, 2, 1.0
87.0, 3, 4, 4, 3, 4, 3, 1, 3, 2, 3.0
11.0, 2, 2, 3, 3, 3, 3, 2, 2, 3, 1.0
12.0, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1.0
13.0, 2, 2, 3, 2, 3, 3, 2, 2, 3, 1.0
163.0, 4, 4, 2, 2, 3, 2, 4, 3, 3, 1.0
15.0, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1.0
16.0, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1.0
17.0, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1.0
18.0, 4, 4, 3, 1, 1, 2, 3, 2, 2, 1.0
19.0, 3, 3, 3, 2, 2, 2, 2, 2, 2, 1.0
20.0, 2, 2, 3, 3, 3, 3, 2, 2, 3, 1.0
21.0, 2, 2, 3, 3, 3, 3, 2, 2, 3, 1.0
22.0, 3, 4, 3, 1, 2, 2, 3, 2, 2, 1.0
23.0, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1.0
24.0, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1.0
25.0, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1.0
26.0, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1.0
27.0, 2, 2, 3, 2, 2, 3, 2, 2, 2, 1.0
28.0, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1.0
29.0, 2, 1, 3, 2, 3, 3, 2, 2, 2, 1.0
30.0, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1.0
31.0, 2, 2, 3, 2, 3, 3, 2, 2, 3, 1.0
32.0, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1.0
183.0, 2, 2, 2, 1, 3, 4, 4, 4, 3, 2.0
34.0, 2, 1, 3, 2, 3, 3, 2, 2, 3, 1.0
35.0, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1.0
36.0, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1.0
37.0, 3, 3, 3, 2, 1, 3, 2, 2, 2, 1.0
38.0, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1.0
39.0, 4, 3, 3, 1, 1, 2, 3, 2, 2, 1.0
40.0, 4, 3, 3, 1, 1, 2, 3, 2, 2, 1.0
41.0, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1.0
42.0, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1.0
